SA1_CODE21,Education level,Income level,Adaptive Capability Index
1156525,1077.0,1044.0,0.8272135
1156526,1156.0,1152.0,0.9001553
1156527,1071.0,798.0,0.72885656
1156528,1108.0,1050.0,0.84163654
1156529,1085.0,1017.0,0.8197926
1156530,1121.0,1062.0,0.85138667
1156531,1096.0,1018.0,0.82446975
1156532,1159.0,684.0,0.7186547
1156533,1054.0,975.0,0.7913181
1156601,1156.0,883.0,0.7951592
1156602,1114.0,942.0,0.8018203
1156603,1115.0,1079.0,0.8556838
1156604,1155.0,1106.0,0.8818109
1156605,1091.0,923.0,0.7854408
1156606,1132.0,1144.0,0.8876797
1156607,1125.0,1075.0,0.85801965
1156608,1069.0,1056.0,0.8287797
1156609,1147.0,1091.0,0.8728384
1156610,1144.0,1081.0,0.867766
1156611,1140.0,994.0,0.8322494
1156612,1108.0,1066.0,0.8478817
1156613,1076.0,1044.0,0.82682383
1156614,1151.0,1105.0,0.8798617
1156615,1134.0,1114.0,0.8767495
1156616,1093.0,1013.0,0.821349
1156617,1113.0,1154.0,0.8841784
1156618,1141.0,1138.0,0.8888452
1156619,1125.0,1089.0,0.86348414
1156620,1120.0,1118.0,0.8728548
1156621,1093.0,957.0,0.79949105
1156701,1120.0,981.0,0.819381
1156702,1051.0,961.0,0.7846845
1156703,1143.0,980.0,0.82795405
1156704,1064.0,1044.0,0.8221473
1156705,1168.0,983.0,0.8388678
1156706,1112.0,1113.0,0.8677856
1156707,1140.0,1065.0,0.8599621
1156708,1117.0,1054.0,0.8467052
1156709,1054.0,848.0,0.7417475
1156710,1109.0,972.0,0.81158125
1156711,1107.0,1014.0,0.8271953
1156712,1084.0,943.0,0.79051924
1156713,1052.0,913.0,0.7663388
1156714,1064.0,865.0,0.75228
1156715,1135.0,1093.0,0.8689425
1156716,1096.0,1122.0,0.8650631
1156717,1142.0,1078.0,0.86581564
1156718,1111.0,1095.0,0.86037004
1156719,1069.0,768.0,0.7163675
1156720,1108.0,1045.0,0.83968496
1156721,1033.0,901.0,0.75425047
1156722,1055.0,887.0,0.7573596
1156723,987.0,710.0,0.6617726
1156724,795.0,598.0,0.54323214
1156725,765.0,539.0,0.5085119
1156801,1072.0,948.0,0.7877943
1156802,1123.0,1089.0,0.8627047
1156803,1104.0,851.0,0.76240396
1156804,1116.0,1088.0,0.85958636
1156805,1124.0,1112.0,0.87207174
1156806,1033.0,963.0,0.7784503
